"","Poll","Date","Sample","Favorable","Unfavorable","Spread","poll_date","candidate","gain","net"
"2","NBC News/Wall St. JrnlNBC/WSJ","7/9 - 7/13","1000 RV",45,32,"+13",2016-07-09,"Sanders",16.8831168831169,13
"3","USA Today/SuffolkUSA Today","6/26 - 6/29","1000 LV",49,39,"+10",2016-06-26,"Sanders",11.3636363636364,10
"4","PPP (D)PPP (D)","6/27 - 6/28","947 RV",44,42,"+2",2016-06-27,"Sanders",2.32558139534884,2
"5","NBC News/Wall St. JrnlNBC/WSJ","6/19 - 6/23","1000 RV",43,34,"+9",2016-06-19,"Sanders",11.6883116883117,9
"6","CNN/ORCCNN/ORC","6/16 - 6/19","891 RV",59,35,"+24",2016-06-16,"Sanders",25.531914893617,24
"7","The Economist/YouGovEconomist","5/20 - 5/23","2000 RV",54,41,"+13",2016-05-20,"Sanders",13.6842105263158,13
"8","ABC News/Wash PostABC/WP","5/16 - 5/19","829 RV",49,41,"+8",2016-05-16,"Sanders",8.88888888888889,8
"9","CBS News/NY TimesCBS/NYT","5/13 - 5/17","1109 RV",41,33,"+8",2016-05-13,"Sanders",10.8108108108108,8
"10","PPP (D)PPP (D)","5/6 - 5/9","1222 RV",43,46,"-3",2016-05-06,"Sanders",-3.37078651685393,-3
"11","The Economist/YouGovEconomist","5/6 - 5/8","2000 A",49,43,"+6",2016-05-06,"Sanders",6.52173913043478,6
"12","CNN/ORCCNN/ORC","4/28 - 5/1","1001 A",60,32,"+28",2016-04-28,"Sanders",30.4347826086957,28
"13","The Economist/YouGovEconomist","4/22 - 4/26","2000 A",53,41,"+12",2016-04-22,"Sanders",12.7659574468085,12
"14","USA Today/SuffolkUSA Today","4/20 - 4/24","1000 LV",43,44,"-1",2016-04-20,"Sanders",-1.14942528735632,-1
"15","GWU/BattlegroundGWU/Battleground","4/17 - 4/20","1000 LV",49,44,"+5",2016-04-17,"Sanders",5.37634408602151,5
"16","NBC News/Wall St. JrnlNBC/WSJ","4/10 - 4/14","1000 RV",45,36,"+9",2016-04-10,"Sanders",11.1111111111111,9
"17","CBS NewsCBS News","4/8 - 4/12","1320 A",39,34,"+5",2016-04-08,"Sanders",6.84931506849315,5
"18","The Economist/YouGovEconomist","4/8 - 4/11","2000 A",51,43,"+8",2016-04-08,"Sanders",8.51063829787234,8
"19","The Atlantic/PRRIThe Atlantic","3/30 - 4/3","2033 A",47,41,"+6",2016-03-30,"Sanders",6.81818181818182,6
"20","The Economist/YouGovEconomist","3/26 - 3/29","2000 A",51,42,"+9",2016-03-26,"Sanders",9.67741935483871,9
"21","PPP (D)PPP (D)","3/24 - 3/26","1083 RV",41,48,"-7",2016-03-24,"Sanders",-7.86516853932584,-7
"22","FOX NewsFOX News","3/20 - 3/22","1016 RV",44,49,"-5",2016-03-20,"Sanders",-5.37634408602151,-5
"23","QuinnipiacQuinnipiac","3/16 - 3/21","1451 RV",50,37,"+13",2016-03-16,"Sanders",14.9425287356322,13
"24","BloombergBloomberg","3/19 - 3/22","1000 A",52,41,"+11",2016-03-19,"Sanders",11.8279569892473,11
"25","CNN/ORCCNN/ORC","3/17 - 3/20","1001 A",48,43,"+5",2016-03-17,"Sanders",5.49450549450549,5
"26","MonmouthMonmouth","3/17 - 3/20","848 RV",48,37,"+11",2016-03-17,"Sanders",12.9411764705882,11
"27","The Economist/YouGovEconomist","3/10 - 3/12","2000 A",50,41,"+9",2016-03-10,"Sanders",9.89010989010989,9
"28","CNN/ORCCNN/ORC","2/24 - 2/27","920 RV",57,33,"+24",2016-02-24,"Sanders",26.6666666666667,24
"29","The Economist/YouGovEconomist","2/24 - 2/27","2000 A",48,39,"+9",2016-02-24,"Sanders",10.3448275862069,9
"30","NBC News/Wall St. JrnlNBC/WSJ","2/14 - 2/16","800 RV",42,35,"+7",2016-02-14,"Sanders",9.09090909090909,7
"31","Associated Press-GfKAP-GfK","2/11 - 2/15","1033 A",40,39,"+1",2016-02-11,"Sanders",1.26582278481013,1
"32","QuinnipiacQuinnipiac","2/10 - 2/15","1342 RV",51,36,"+15",2016-02-10,"Sanders",17.2413793103448,15
"33","PPP (D)PPP (D)","2/2 - 2/3","1236 RV",39,46,"-7",2016-02-02,"Sanders",-8.23529411764706,-7
"34","The Economist/YouGovEconomist","2/11 - 2/15","2000 A",49,40,"+9",2016-02-11,"Sanders",10.1123595505618,9
"35","The Economist/YouGovEconomist","1/27 - 1/30","2000 A",47,38,"+9",2016-01-27,"Sanders",10.5882352941176,9
"36","The Economist/YouGovEconomist","1/15 - 1/19","2000 A",43,39,"+4",2016-01-15,"Sanders",4.8780487804878,4
"37","ABC News/Wash PostABC/WP","1/6 - 1/10","1000 A",44,40,"+4",2016-01-06,"Sanders",4.76190476190476,4
"38","The Economist/YouGovEconomist","12/30 - 1/6","2000 A",43,39,"+4",2015-12-31,"Sanders",4.8780487804878,4
"39","The Economist/YouGovEconomist","12/18 - 12/21","2000 A",44,41,"+3",2015-12-19,"Sanders",3.52941176470588,3
"40","QuinnipiacQuinnipiac","12/16 - 12/20","1140 RV",40,31,"+9",2015-12-17,"Sanders",12.6760563380282,9
"41","PPP (D)PPP (D)","12/16 - 12/17","1267 RV",34,49,"-15",2015-12-17,"Sanders",-18.0722891566265,-15
"42","The Economist/YouGovEconomist","12/4 - 12/9","2000 A",44,36,"+8",2015-12-05,"Sanders",10,8
"43","Associated Press-GfKAP-GfK","12/3 - 12/7","1007 A",31,32,"-1",2015-12-04,"Sanders",-1.58730158730159,-1
"44","QuinnipiacQuinnipiac","11/23 - 11/30","1473 RV",44,31,"+13",2015-11-24,"Sanders",17.3333333333333,13
"45","The Economist/YouGovEconomist","11/19 - 11/23","2000 A",42,40,"+2",2015-11-20,"Sanders",2.4390243902439,2
"46","ABC News/Wash PostABC/WP","11/4 - 11/8","1023 A",40,38,"+2",2015-11-05,"Sanders",2.56410256410256,2
"47","The Economist/YouGovEconomist","11/5 - 11/9","2000 A",41,37,"+4",2015-11-06,"Sanders",5.12820512820513,4
"48","The Economist/YouGovEconomist","10/23 - 10/27","2000 A",42,37,"+5",2015-10-24,"Sanders",6.32911392405063,5
"49","Associated Press-GfKAP-GfK","10/15 - 10/19","1027 A",32,30,"+2",2015-10-16,"Sanders",3.2258064516129,2
"50","MonmouthMonmouth","10/15 - 10/18","836 RV",35,30,"+5",2015-10-16,"Sanders",7.69230769230769,5
"51","The Economist/YouGovEconomist","10/8 - 10/12","2000 A",38,36,"+2",2015-10-09,"Sanders",2.7027027027027,2
"52","ABC News/Wash PostABC/WP","10/7 - 10/11","1002 A",35,35,"Tie",2015-10-08,"Sanders",0,0
"53","FOX NewsFOX News","9/20 - 9/22","1013 RV",34,36,"-2",2015-09-21,"Sanders",-2.85714285714286,-2
"54","QuinnipiacQuinnipiac","9/17 - 9/21","1574 RV",35,28,"+7",2015-09-18,"Sanders",11.1111111111111,7
"55","The Economist/YouGovEconomist","9/11 - 9/15","2000 A",39,33,"+6",2015-09-12,"Sanders",8.33333333333333,6
"56","The Economist/YouGovEconomist","8/28 - 9/1","2000 A",38,34,"+4",2015-08-29,"Sanders",5.55555555555556,4
"57","The Economist/YouGovEconomist","8/14 - 8/18","2000 A",39,32,"+7",2015-08-15,"Sanders",9.85915492957746,7
"58","The Economist/YouGovEconomist","7/18 - 7/20","1000 A",33,30,"+3",2015-07-19,"Sanders",4.76190476190476,3
"59","ABC News/Wash PostABC/WP","7/8 - 7/12","1011 A",27,28,"-1",2015-07-09,"Sanders",-1.81818181818182,-1
"60","The Economist/YouGovEconomist","7/4 - 7/6","1000  A",32,32,"Tie",2015-07-05,"Sanders",0,0
"61","The Economist/YouGovEconomist","6/27 - 6/29","1000 A",29,34,"-5",2015-06-28,"Sanders",-7.93650793650794,-5
"62","The Economist/YouGovEconomist","6/20 - 6/22","1000 A",29,35,"-6",2015-06-21,"Sanders",-9.375,-6
"63","MonmouthMonmouth","6/11 - 6/14","829 RV",15,24,"-9",2015-06-12,"Sanders",-23.0769230769231,-9
"64","The Economist/YouGovEconomist","6/13 - 6/15","1000 A",28,35,"-7",2015-06-14,"Sanders",-11.1111111111111,-7
"65","The Economist/YouGovEconomist","6/6 - 6/8","1000 A",25,32,"-7",2015-06-07,"Sanders",-12.280701754386,-7
"66","The Economist/YouGovEconomist","5/30 - 6/1","1000 A",27,31,"-4",2015-05-31,"Sanders",-6.89655172413793,-4
"67","The Economist/YouGovEconomist","5/23 - 5/25","1000 A",28,29,"-1",2015-05-24,"Sanders",-1.75438596491228,-1
"68","QuinnipiacQuinnipiac","5/19 - 5/26","1711 RV",19,18,"+1",2015-05-20,"Sanders",2.7027027027027,1
"69","The Economist/YouGovEconomist","5/16 - 5/18","1000 A",26,31,"-5",2015-05-17,"Sanders",-8.7719298245614,-5
"70","Rasmussen ReportsRasmussen","5/3 - 5/4","1000 LV",29,27,"+2",2015-05-04,"Sanders",3.57142857142857,2
"71","The Economist/YouGovEconomist","4/25 - 4/27","1000 A",21,25,"-4",2015-04-26,"Sanders",-8.69565217391304,-4
"72","Associated Press/GfKAP-GfK","4/23 - 4/27","1077 A",10,11,"-1",2015-04-24,"Sanders",-4.76190476190476,-1
"73","The Economist/YouGovEconomist","4/18 - 4/20","1000 A",22,28,"-6",2015-04-19,"Sanders",-12,-6
"74","The Economist/YouGovEconomist","4/11 - 4/13","1000 A",22,28,"-6",2015-04-12,"Sanders",-12,-6
"75","The Economist/YouGovEconomist","4/4 - 4/6","1000 A",20,27,"-7",2015-04-05,"Sanders",-14.8936170212766,-7
"76","The Economist/YouGovEconomist","3/28 - 3/30","1000 A",24,22,"+2",2015-03-29,"Sanders",4.34782608695652,2
"77","The Economist/YouGovEconomist","3/21 - 3/23","1000 A",22,21,"+1",2015-03-22,"Sanders",2.32558139534884,1
"78","The Economist/YouGovEconomist","3/14 - 3/16","1000 A",24,22,"+2",2015-03-15,"Sanders",4.34782608695652,2
"79","GallupGallup","3/2 - 3/4","1522 A",12,12,"Tie",2015-03-03,"Sanders",0,0
"80","The Economist/YouGovEconomist","2/28 - 3/2","1000 A",25,22,"+3",2015-02-28,"Sanders",6.38297872340426,3
"81","The Economist/YouGovEconomist","2/21 - 2/23","1000 A",20,20,"Tie",2015-02-21,"Sanders",0,0
"82","The Economist/YouGovEconomist","2/14 - 2/16","1000 A",22,21,"+1",2015-02-14,"Sanders",2.32558139534884,1
"83","The Economist/YouGovEconomist","2/7 - 2/9","1000 A",20,22,"-2",2015-02-07,"Sanders",-4.76190476190476,-2
"84","The Economist/YouGovEconomist","1/31 - 2/2","1000 A",20,22,"-2",2015-01-31,"Sanders",-4.76190476190476,-2
"85","The Economist/YouGovEconomist","1/24 - 1/26","1000 A",21,25,"-4",2015-01-24,"Sanders",-8.69565217391304,-4
"86","The Economist/YouGovEconomist","1/17 - 1/19","1000 A",18,25,"-7",2015-01-17,"Sanders",-16.2790697674419,-7
"87","The Economist/YouGovEconomist","1/10 - 1/12","1000 A",23,23,"Tie",2015-01-10,"Sanders",0,0
"88","The Economist/YouGovEconomist","1/3 - 1/5","1000 A",22,23,"-1",2015-01-03,"Sanders",-2.22222222222222,-1
"89","The Economist/YouGovEconomist","12/27 - 12/29","1000 A",25,25,"Tie",2014-12-28,"Sanders",0,0
"210","The Economist/YouGovThe Economist/YouGov","5/6 - 5/8","2000 A",42,37,"+5",2016-05-06,"Kasich",6.32911392405063,5
"310","CNN/ORCCNN/ORC","4/28 - 5/1","1001 A",49,30,"+19",2016-04-28,"Kasich",24.0506329113924,19
"410","IBD/TIPPIBD/TIPP","4/22 - 4/28","903 A",38,35,"+3",2016-04-22,"Kasich",4.10958904109589,3
"510","The Economist/YouGovThe Economist/YouGov","4/22 - 4/26","2000 A",36,43,"-7",2016-04-22,"Kasich",-8.86075949367089,-7
"610","USA Today/SuffolkUSA Today/Suffolk","4/20 - 4/24","1000 LV",43,30,"+13",2016-04-20,"Kasich",17.8082191780822,13
"710","GWU/BattlegroundGWU/Battleground","4/17 - 4/20","1000 LV",45,29,"+16",2016-04-17,"Kasich",21.6216216216216,16
"810","NBC News/Wall St. JrnlNBC News/Wall St. Jrnl","4/10 - 4/14","1000 RV",31,19,"+12",2016-04-10,"Kasich",24,12
"91","CBS NewsCBS News","4/8 - 4/12","1320 A",26,21,"+5",2016-04-08,"Kasich",10.6382978723404,5
"101","The Economist/YouGovThe Economist/YouGov","4/8 - 4/11","2000 A",35,42,"-7",2016-04-08,"Kasich",-9.09090909090909,-7
"111","ABC News/Wash PostABC News/Wash Post","4/6 - 4/10","1010 A",39,39,"Tie",2016-04-06,"Kasich",0,0
"121","The Economist/YouGovThe Economist/YouGov","3/26 - 3/29","2000 A",38,38,"Tie",2016-03-26,"Kasich",0,0
"131","PPP (D)PPP (D)","3/24 - 3/26","1083 RV",41,39,"+2",2016-03-24,"Kasich",2.5,2
"141","FOX NewsFOX News","3/20 - 3/22","1016 RV",40,33,"+7",2016-03-20,"Kasich",9.58904109589041,7
"151","BloombergBloomberg","3/19 - 3/22","1000 A",46,32,"+14",2016-03-19,"Kasich",17.9487179487179,14
"161","QuinnipiacQuinnipiac","3/16 - 3/21","1451 RV",43,20,"+23",2016-03-16,"Kasich",36.5079365079365,23
"171","CNN/ORCCNN/ORC","3/17 - 3/20","1001 A",40,31,"+9",2016-03-17,"Kasich",12.6760563380282,9
"181","MonmouthMonmouth","3/17 - 3/20","848 RV",50,18,"+32",2016-03-17,"Kasich",47.0588235294118,32
"191","The Economist/YouGovThe Economist/YouGov","3/10 - 3/12","2000 A",40,36,"+4",2016-03-10,"Kasich",5.26315789473684,4
"201","CNN/ORCCNN/ORC","2/24 - 2/27","920 RV",41,22,"+19",2016-02-24,"Kasich",30.1587301587302,19
"211","The Economist/YouGovThe Economist/YouGov","2/24 - 2/27","2000 A",33,37,"-4",2016-02-24,"Kasich",-5.71428571428571,-4
"221","NBC News/Wall St. JrnlNBC News/Wall St. Jrnl","2/14 - 2/16","800 RV",26,14,"+12",2016-02-14,"Kasich",30,12
"231","Associated Press-GfKAssociated Press-GfK","2/11 - 2/15","1033 A",26,24,"+2",2016-02-11,"Kasich",4,2
"241","QuinnipiacQuinnipiac","2/10 - 2/15","1342 RV",35,18,"+17",2016-02-10,"Kasich",32.0754716981132,17
"251","The Economist/YouGovThe Economist/YouGov","2/11 - 2/15","2000 A",32,34,"-2",2016-02-11,"Kasich",-3.03030303030303,-2
"261","The Economist/YouGovThe Economist/YouGov","1/27 - 1/30","2000 A",27,35,"-8",2016-01-27,"Kasich",-12.9032258064516,-8
"271","CNN/ORCCNN/ORC","1/21 - 1/24","1002 A",24,26,"-2",2016-01-21,"Kasich",-4,-2
"281","The Economist/YouGovThe Economist/YouGov","12/30 - 1/6","2000 A",24,36,"-12",2015-12-31,"Kasich",-20,-12
"291","The Economist/YouGovThe Economist/YouGov","12/18 - 12/21","2000 A",24,39,"-15",2015-12-19,"Kasich",-23.8095238095238,-15
"301","CNN/ORCCNN/ORC","12/17 - 12/21","1002 A",22,31,"-9",2015-12-18,"Kasich",-16.9811320754717,-9
"311","QuinnipiacQuinnipiac","12/16 - 12/20","1140 RV",21,20,"+1",2015-12-17,"Kasich",2.4390243902439,1
"321","The Economist/YouGovThe Economist/YouGov","12/4 - 12/9","2000 A",23,37,"-14",2015-12-05,"Kasich",-23.3333333333333,-14
"331","Associated Press-GfKAssociated Press-GfK","12/3 - 12/7","1007 A",14,25,"-11",2015-12-04,"Kasich",-28.2051282051282,-11
"341","QuinnipiacQuinnipiac","11/23 - 11/30","1473 RV",19,23,"-4",2015-11-24,"Kasich",-9.52380952380952,-4
"351","The Economist/YouGovThe Economist/YouGov","11/19 - 11/23","2000 A",22,37,"-15",2015-11-20,"Kasich",-25.4237288135593,-15
"361","The Economist/YouGovThe Economist/YouGov","11/5 - 11/9","2000 A",22,34,"-12",2015-11-06,"Kasich",-21.4285714285714,-12
"371","The Economist/YouGovThe Economist/YouGov","10/23 - 10/27","2000 A",21,34,"-13",2015-10-24,"Kasich",-23.6363636363636,-13
"381","The Economist/YouGovThe Economist/YouGov","10/8 - 10/12","2000 A",23,32,"-9",2015-10-09,"Kasich",-16.3636363636364,-9
"391","FOX NewsFOX News","9/20 - 9/22","1013 RV",23,25,"-2",2015-09-21,"Kasich",-4.16666666666667,-2
"401","QuinnipiacQuinnipiac","9/17 - 9/21","1574 RV",27,15,"+12",2015-09-18,"Kasich",28.5714285714286,12
"411","The Economist/YouGovThe Economist/YouGov","9/11 - 9/15","2000 A",23,30,"-7",2015-09-12,"Kasich",-13.2075471698113,-7
"421","The Economist/YouGovThe Economist/YouGov","8/28 - 9/1","2000 A",23,30,"-7",2015-08-29,"Kasich",-13.2075471698113,-7
"431","The Economist/YouGovThe Economist/YouGov","8/14 - 8/18","2000 A",26,30,"-4",2015-08-15,"Kasich",-7.14285714285714,-4
"441","The Economist/YouGovThe Economist/YouGov","7/18 - 7/20","1000 A",18,24,"-6",2015-07-19,"Kasich",-14.2857142857143,-6
"451","Associated Press-GfKAssociated Press-GfK","7/9 - 7/13","1004 A",9,13,"-4",2015-07-10,"Kasich",-18.1818181818182,-4
"461","The Economist/YouGovThe Economist/YouGov","7/4 - 7/6","1000  A",20,24,"-4",2015-07-05,"Kasich",-9.09090909090909,-4
"471","The Economist/YouGovThe Economist/YouGov","6/27 - 6/29","1000 A",18,22,"-4",2015-06-28,"Kasich",-10,-4
"481","The Economist/YouGovThe Economist/YouGov","6/20 - 6/22","1000 A",17,27,"-10",2015-06-21,"Kasich",-22.7272727272727,-10
"491","The Economist/YouGovThe Economist/YouGov","6/13 - 6/15","1000 A",17,23,"-6",2015-06-14,"Kasich",-15,-6
"501","The Economist/YouGovThe Economist/YouGov","6/6 - 6/8","1000 A",18,24,"-6",2015-06-07,"Kasich",-14.2857142857143,-6
"511","The Economist/YouGovThe Economist/YouGov","5/30 - 6/1","1000 A",16,23,"-7",2015-05-31,"Kasich",-17.9487179487179,-7
"521","The Economist/YouGovThe Economist/YouGov","5/23 - 5/25","1000 A",19,25,"-6",2015-05-24,"Kasich",-13.6363636363636,-6
"531","QuinnipiacQuinnipiac","5/19 - 5/26","1711 RV",12,12,"Tie",2015-05-20,"Kasich",0,0
"541","The Economist/YouGovThe Economist/YouGov","5/16 - 5/18","1000 A",18,33,"-15",2015-05-17,"Kasich",-29.4117647058824,-15
"551","FOX NewsFOX News","5/9 - 5/12","1006 RV",12,14,"-2",2015-05-10,"Kasich",-7.69230769230769,-2
"561","The Economist/YouGovThe Economist/YouGov","4/25 - 4/27","1000 A",19,19,"Tie",2015-04-26,"Kasich",0,0
"571","The Economist/YouGovThe Economist/YouGov","4/18 - 4/20","1000 A",18,24,"-6",2015-04-19,"Kasich",-14.2857142857143,-6
"581","The Economist/YouGovThe Economist/YouGov","4/11 - 4/13","1000 A",18,21,"-3",2015-04-12,"Kasich",-7.69230769230769,-3
"591","The Economist/YouGovThe Economist/YouGov","4/4 - 4/6","1000 A",18,20,"-2",2015-04-05,"Kasich",-5.26315789473684,-2
"601","The Economist/YouGovThe Economist/YouGov","3/28 - 3/30","1000 A",17,21,"-4",2015-03-29,"Kasich",-10.5263157894737,-4
"611","The Economist/YouGovThe Economist/YouGov","3/14 - 3/16","1000 A",19,20,"-1",2015-03-15,"Kasich",-2.56410256410256,-1
"621","The Economist/YouGovThe Economist/YouGov","3/21 - 3/23","1000 A",17,21,"-4",2015-03-22,"Kasich",-10.5263157894737,-4
"631","The Economist/YouGovThe Economist/YouGov","2/28 - 3/2","1000 A",21,19,"+2",2015-02-28,"Kasich",5,2
"641","The Economist/YouGovThe Economist/YouGov","2/21 - 2/23","1000 A",16,19,"-3",2015-02-21,"Kasich",-8.57142857142857,-3
"651","The Economist/YouGovThe Economist/YouGov","2/14 - 2/16","1000 A",19,18,"+1",2015-02-14,"Kasich",2.7027027027027,1
"661","The Economist/YouGovThe Economist/YouGov","2/7 - 2/9","1000 A",20,16,"+4",2015-02-07,"Kasich",11.1111111111111,4
"671","The Economist/YouGovThe Economist/YouGov","1/31 - 2/2","1000 A",18,19,"-1",2015-01-31,"Kasich",-2.7027027027027,-1
"681","QuinnipiacQuinnipiac","6/24 - 6/30","RV",13,9,"+4",2015-06-25,"Kasich",18.1818181818182,4
"691","Associated Press/GfKAssociated Press/GfK","3/20 - 3/24","1012 A",8,13,"-5",2015-03-21,"Kasich",-23.8095238095238,-5
"701","QuinnipiacQuinnipiac","12/3 - 12/9","RV",12,9,"+3",2014-12-04,"Kasich",14.2857142857143,3
"212","CNN/ORCCNN/ORC","2/24 - 2/27","920 RV",44,35,"+9",2016-02-24,"Carson",11.3924050632911,9
"312","The Economist/YouGovThe Economist/YouGov","2/24 - 2/27","2000 A",35,47,"-12",2016-02-24,"Carson",-14.6341463414634,-12
"412","Associated Press-GfKAssociated Press-GfK","2/11 - 2/15","1033 A",30,41,"-11",2016-02-11,"Carson",-15.4929577464789,-11
