"","Poll","Date","Sample","Favorable","Unfavorable","Spread","poll_date","candidate","gain","net"
"264","Economist/YouGovEconomist","6/18 - 6/20","1288 A",41,56,"-15",2016-06-18,"Clinton",-15.4639175257732,-15
"274","CNN/ORCCNN/ORC","6/16 - 6/19","891 RV",42,57,"-15",2016-06-16,"Clinton",-15.1515151515152,-15
"284","MonmouthMonmouth","6/15 - 6/19","803 RV",36,52,"-16",2016-06-15,"Clinton",-18.1818181818182,-16
"294","GallupGallup","6/13 - 6/19","3560 A",41,54,"-13",2016-06-13,"Clinton",-13.6842105263158,-13
"304","Reuters/IpsosReuters","6/11 - 6/15","1323 RV",47,53,"-6",2016-06-11,"Clinton",-6,-6
"317","Rasmussen ReportsRasmussen","6/12 - 6/13","1000 LV",38,59,"-21",2016-06-12,"Clinton",-21.6494845360825,-21
"324","BloombergBloomberg","6/10 - 6/13","1000 A",43,54,"-11",2016-06-10,"Clinton",-11.340206185567,-11
"334","CBS NewsCBS News","6/9 - 6/13","1048 RV",33,52,"-19",2016-06-09,"Clinton",-22.3529411764706,-19
"344","ABC News/Wash PostABC/WP","6/8 - 6/12","RV",43,56,"-13",2016-06-08,"Clinton",-13.1313131313131,-13
"354","FOX NewsFOX News","6/5 - 6/8","1004 RV",42,56,"-14",2016-06-05,"Clinton",-14.2857142857143,-14
"364","Economist/YouGovEconomist","6/2 - 6/5","2000 A",44,53,"-9",2016-06-02,"Clinton",-9.27835051546392,-9
"374","IBD/TIPPIBD/TIPP","5/31 - 6/5","908 A",39,61,"-22",2016-05-31,"Clinton",-22,-22
"384","QuinnipiacQuinnipiac","5/24 - 5/30","1561 RV",37,57,"-20",2016-05-24,"Clinton",-21.2765957446809,-20
"394","Economist/YouGovEconomist","5/20 - 5/23","2000 RV",43,54,"-11",2016-05-20,"Clinton",-11.340206185567,-11
"404","ABC News/Wash PostABC/WP","5/16 - 5/19","829 RV",41,57,"-16",2016-05-16,"Clinton",-16.3265306122449,-16
"417","NBC News/Wall St. JrnlNBC/WSJ","5/15 - 5/19","1000 RV",34,54,"-20",2016-05-15,"Clinton",-22.7272727272727,-20
"424","FOX NewsFOX News","5/14 - 5/17","1021 RV",37,61,"-24",2016-05-14,"Clinton",-24.4897959183673,-24
"434","CBS News/NY TimesCBS/NYT","5/13 - 5/17","1109 RV",31,52,"-21",2016-05-13,"Clinton",-25.3012048192771,-21
"444","GallupGallup","5/1 - 5/22","10598 A",40,54,"-14",2016-05-01,"Clinton",-14.8936170212766,-14
"454","PPP (D)PPP (D)","5/6 - 5/9","1222 RV",36,55,"-19",2016-05-06,"Clinton",-20.8791208791209,-19
"464","The Economist/YouGovEconomist","5/6 - 5/8","2000 A",41,56,"-15",2016-05-06,"Clinton",-15.4639175257732,-15
"474","CNN/ORCCNN/ORC","4/28 - 5/1","1001 A",48,49,"-1",2016-04-28,"Clinton",-1.03092783505155,-1
"484","IBD/TIPPIBD/TIPP","4/22 - 4/28","903 A",43,56,"-13",2016-04-22,"Clinton",-13.1313131313131,-13
"494","The Economist/YouGovEconomist","4/22 - 4/26","2000 A",42,54,"-12",2016-04-22,"Clinton",-12.5,-12
"504","USA Today/SuffolkUSA Today","4/20 - 4/24","1000 LV",37,54,"-17",2016-04-20,"Clinton",-18.6813186813187,-17
"517","GWU/BattlegroundGWU/Battleground","4/17 - 4/20","1000 LV",42,56,"-14",2016-04-17,"Clinton",-14.2857142857143,-14
"524","NBC News/Wall St. JrnlNBC/WSJ","4/10 - 4/14","1000 RV",32,56,"-24",2016-04-10,"Clinton",-27.2727272727273,-24
"534","CBS NewsCBS News","4/8 - 4/12","1320 A",31,54,"-23",2016-04-08,"Clinton",-27.0588235294118,-23
"544","The Economist/YouGovEconomist","4/8 - 4/11","2000 A",41,56,"-15",2016-04-08,"Clinton",-15.4639175257732,-15
"554","Associated Press-GfKAP-GfK","3/31 - 4/4","1076 A",40,55,"-15",2016-03-31,"Clinton",-15.7894736842105,-15
"564","The Atlantic/PRRIThe Atlantic","3/30 - 4/3","2033 A",40,54,"-14",2016-03-30,"Clinton",-14.8936170212766,-14
"574","The Economist/YouGovEconomist","3/26 - 3/29","2000 A",43,54,"-11",2016-03-26,"Clinton",-11.340206185567,-11
"584","PPP (D)PPP (D)","3/24 - 3/26","1083 RV",37,55,"-18",2016-03-24,"Clinton",-19.5652173913043,-18
"594","FOX NewsFOX News","3/20 - 3/22","1016 RV",39,58,"-19",2016-03-20,"Clinton",-19.5876288659794,-19
"604","BloombergBloomberg","3/19 - 3/22","1000 A",44,53,"-9",2016-03-19,"Clinton",-9.27835051546392,-9
"617","QuinnipiacQuinnipiac","3/16 - 3/21","1451 RV",39,56,"-17",2016-03-16,"Clinton",-17.8947368421053,-17
"624","CBS News/NY TimesCBS/NYT","3/17 - 3/20","1252 A",31,52,"-21",2016-03-17,"Clinton",-25.3012048192771,-21
"634","CNN/ORCCNN/ORC","3/17 - 3/20","1001 A",43,56,"-13",2016-03-17,"Clinton",-13.1313131313131,-13
"644","MonmouthMonmouth","3/17 - 3/20","848 RV",40,51,"-11",2016-03-17,"Clinton",-12.0879120879121,-11
"653","The Economist/YouGovEconomist","3/10 - 3/12","2000 A",43,54,"-11",2016-03-10,"Clinton",-11.340206185567,-11
"663","ABC News/Wash PostABC/WP","3/3 - 3/6","1000 A",46,52,"-6",2016-03-03,"Clinton",-6.12244897959184,-6
"673","GallupGallup","2/26 - 3/3","A",41,53,"-12",2016-02-26,"Clinton",-12.7659574468085,-12
"683","CNN/ORCCNN/ORC","2/24 - 2/27","920 RV",42,55,"-13",2016-02-24,"Clinton",-13.4020618556701,-13
"693","The Economist/YouGovEconomist","2/24 - 2/27","2000 A",41,54,"-13",2016-02-24,"Clinton",-13.6842105263158,-13
"703","NBC News/Wall St. JrnlNBC/WSJ","2/14 - 2/16","800 RV",37,50,"-13",2016-02-14,"Clinton",-14.9425287356322,-13
"715","Associated Press-GfKAP-GfK","2/11 - 2/15","1033 A",38,51,"-13",2016-02-11,"Clinton",-14.6067415730337,-13
"722","QuinnipiacQuinnipiac","2/10 - 2/15","1342 RV",37,58,"-21",2016-02-10,"Clinton",-22.1052631578947,-21
"732","PPP (D)PPP (D)","2/2 - 2/3","1236 RV",42,53,"-11",2016-02-02,"Clinton",-11.5789473684211,-11
"742","The Economist/YouGovEconomist","2/11 - 2/15","2000 A",40,55,"-15",2016-02-11,"Clinton",-15.7894736842105,-15
"751","The Economist/YouGovEconomist","1/27 - 1/30","2000 A",39,55,"-16",2016-01-27,"Clinton",-17.0212765957447,-16
"761","The Economist/YouGovEconomist","1/15 - 1/19","2000 A",38,56,"-18",2016-01-15,"Clinton",-19.1489361702128,-18
"771","ABC News/Wash PostABC/WP","1/6 - 1/10","1000 A",48,49,"-1",2016-01-06,"Clinton",-1.03092783505155,-1
"781","The Economist/YouGovEconomist","12/30 - 1/6","2000 A",41,54,"-13",2015-12-31,"Clinton",-13.6842105263158,-13
"791","The Economist/YouGovEconomist","12/18 - 12/21","2000 A",44,51,"-7",2015-12-19,"Clinton",-7.36842105263158,-7
"801","QuinnipiacQuinnipiac","12/16 - 12/20","1140 RV",43,51,"-8",2015-12-17,"Clinton",-8.51063829787234,-8
"814","PPP (D)PPP (D)","12/16 - 12/17","1267 RV",38,55,"-17",2015-12-17,"Clinton",-18.2795698924731,-17
"821","The Economist/YouGovEconomist","12/4 - 12/9","2000 A",44,50,"-6",2015-12-05,"Clinton",-6.38297872340426,-6
"831","Associated Press-GfKAP-GfK","12/3 - 12/7","1007 A",44,46,"-2",2015-12-04,"Clinton",-2.22222222222222,-2
"841","QuinnipiacQuinnipiac","11/23 - 11/30","1473 RV",44,51,"-7",2015-11-24,"Clinton",-7.36842105263158,-7
"851","The Economist/YouGovEconomist","11/19 - 11/23","2000 A",44,51,"-7",2015-11-20,"Clinton",-7.36842105263158,-7
"861","ABC News/Wash PostABC/WP","11/4 - 11/8","1023 A",46,51,"-5",2015-11-05,"Clinton",-5.15463917525773,-5
"871","The Economist/YouGovEconomist","11/5 - 11/9","2000 A",41,52,"-11",2015-11-06,"Clinton",-11.8279569892473,-11
"881","The Economist/YouGovEconomist","10/23 - 10/27","2000 A",42,51,"-9",2015-10-24,"Clinton",-9.67741935483871,-9
"891","Associated Press-GfKAP-GfK","10/15 - 10/19","1027 A",41,48,"-7",2015-10-16,"Clinton",-7.86516853932584,-7
"90","MonmouthMonmouth","10/15 - 10/18","836 RV",41,48,"-7",2015-10-16,"Clinton",-7.86516853932584,-7
"911","The Economist/YouGovEconomist","10/8 - 10/12","2000 A",43,49,"-6",2015-10-09,"Clinton",-6.52173913043478,-6
"921","ABC News/Wash PostABC/WP","10/7 - 10/11","1002 A",47,49,"-2",2015-10-08,"Clinton",-2.08333333333333,-2
"931","FOX NewsFOX News","9/20 - 9/22","1013 RV",38,56,"-18",2015-09-21,"Clinton",-19.1489361702128,-18
"94","BloombergBloomberg","9/18 - 9/21","1001 A",38,54,"-16",2015-09-19,"Clinton",-17.3913043478261,-16
"95","QuinnipiacQuinnipiac","9/17 - 9/21","1574 RV",41,55,"-14",2015-09-18,"Clinton",-14.5833333333333,-14
"96","The Economist/YouGovEconomist","9/11 - 9/15","2000 A",42,52,"-10",2015-09-12,"Clinton",-10.6382978723404,-10
"97","The Economist/YouGovEconomist","8/28 - 9/1","2000 A",41,52,"-11",2015-08-29,"Clinton",-11.8279569892473,-11
"98","ABC News/Wash PostABC/WP","8/26 - 8/30","1005 A",45,53,"-8",2015-08-27,"Clinton",-8.16326530612245,-8
"99","The Economist/YouGovEconomist","8/14 - 8/18","2000 A",43,51,"-8",2015-08-15,"Clinton",-8.51063829787234,-8
"100","The Economist/YouGovEconomist","7/18 - 7/20","1000 A",45,47,"-2",2015-07-19,"Clinton",-2.17391304347826,-2
"1011","Associated Press-GfKAP-GfK","7/9 - 7/13","1004 A",39,49,"-10",2015-07-10,"Clinton",-11.3636363636364,-10
"1021","ABC News/Wash PostABC/WP","7/8 - 7/12","1011 A",52,45,"+7",2015-07-09,"Clinton",7.21649484536082,7
"1031","The Economist/YouGovEconomist","7/4 - 7/6","1000  A",45,50,"-5",2015-07-05,"Clinton",-5.26315789473684,-5
"104","The Economist/YouGovEconomist","6/27 - 6/29","1000 A",46,51,"-5",2015-06-28,"Clinton",-5.15463917525773,-5
"105","The Economist/YouGovEconomist","6/20 - 6/22","1000 A",46,50,"-4",2015-06-21,"Clinton",-4.16666666666667,-4
"106","MonmouthMonmouth","6/11 - 6/14","829 RV",41,44,"-3",2015-06-12,"Clinton",-3.52941176470588,-3
"107","The Economist/YouGovEconomist","6/13 - 6/15","1000 A",46,49,"-3",2015-06-14,"Clinton",-3.15789473684211,-3
"108","The Economist/YouGovEconomist","6/6 - 6/8","1000 A",45,50,"-5",2015-06-07,"Clinton",-5.26315789473684,-5
"109","The Economist/YouGovEconomist","5/30 - 6/1","1000 A",47,49,"-2",2015-05-31,"Clinton",-2.08333333333333,-2
"110","The Economist/YouGovEconomist","5/23 - 5/25","1000 A",47,47,"Tie",2015-05-24,"Clinton",0,0
"1111","QuinnipiacQuinnipiac","5/19 - 5/26","1711 RV",45,47,"-2",2015-05-20,"Clinton",-2.17391304347826,-2
"1121","The Economist/YouGovEconomist","5/16 - 5/18","1000 A",47,47,"Tie",2015-05-17,"Clinton",0,0
"1131","Pew ResearchPew","5/12 - 5/18","2002 A",49,47,"+2",2015-05-13,"Clinton",2.08333333333333,2
"114","FOX NewsFOX News","5/9 - 5/12","1006 RV",45,49,"-4",2015-05-10,"Clinton",-4.25531914893617,-4
"115","GallupGallup","5/6 - 5/10","1024 A",50,46,"+4",2015-05-07,"Clinton",4.16666666666667,4
"116","CBS News/NY TimesCBS/NYT","4/30 - 5/3","1027 A",35,36,"-1",2015-05-01,"Clinton",-1.40845070422535,-1
"117","The Economist/YouGovEconomist","4/25 - 4/27","1000 A",46,50,"-4",2015-04-26,"Clinton",-4.16666666666667,-4
"118","Associated Press/GfKAP-GfK","4/23 - 4/27","1077 A",46,41,"+5",2015-04-24,"Clinton",5.74712643678161,5
"119","The Economist/YouGovEconomist","4/18 - 4/20","1000 A",46,48,"-2",2015-04-19,"Clinton",-2.12765957446809,-2
"120","QuinnipiacQuinnipiac","4/16 - 4/21","1353 RV",46,47,"-1",2015-04-17,"Clinton",-1.0752688172043,-1
"1211","Rasmussen ReportsRasmussen","4/13 - 4/14","1000 LV",47,47,"Tie",2015-04-14,"Clinton",0,0
"1221","The Economist/YouGovEconomist","4/11 - 4/13","1000 A",51,45,"+6",2015-04-12,"Clinton",6.25,6
"1231","BloombergBloomberg","4/6 - 4/8","1008 A",48,44,"+4",2015-04-07,"Clinton",4.34782608695652,4
"124","The Economist/YouGovEconomist","4/4 - 4/6","1000 A",44,52,"-8",2015-04-05,"Clinton",-8.33333333333333,-8
"125","GallupGallup","4/3 - 4/4","1023 A",48,42,"+6",2015-04-04,"Clinton",6.66666666666667,6
"126","FOX NewsFOX News","3/29 - 3/31","1025 RV",47,50,"-3",2015-03-30,"Clinton",-3.09278350515464,-3
"127","PPP (D)PPP (D)","3/26 - 3/31","989 RV",41,53,"-12",2015-03-27,"Clinton",-12.7659574468085,-12
"128","The Economist/YouGovEconomist","3/28 - 3/30","1000 A",50,47,"+3",2015-03-29,"Clinton",3.09278350515464,3
"129","ABC News/Wash PostABC/WP","3/26 - 3/29","RV",49,47,"+2",2015-03-27,"Clinton",2.08333333333333,2
"130","CBS NewsCBS News","3/21 - 3/24","1023 A",26,37,"-11",2015-03-22,"Clinton",-17.4603174603175,-11
"1311","The Economist/YouGovEconomist","3/21 - 3/23","1000 A",49,43,"+6",2015-03-22,"Clinton",6.52173913043478,6
"1321","Rasmussen ReportsRasmussen","3/16 - 3/17","1000 LV",48,49,"-1",2015-03-17,"Clinton",-1.03092783505155,-1
"1331","The Economist/YouGovEconomist","3/14 - 3/16","1000 A",47,48,"-1",2015-03-15,"Clinton",-1.05263157894737,-1
"134","CNN/Opinion ResearchCNN/ORC","3/13 - 3/15","1009 A",53,44,"+9",2015-03-14,"Clinton",9.27835051546392,9
"135","GallupGallup","3/2 - 3/4","1522 A",50,39,"+11",2015-03-03,"Clinton",12.3595505617978,11
"136","The Economist/YouGovEconomist","2/28 - 3/2","1000 A",52,44,"+8",2015-02-28,"Clinton",8.33333333333333,8
"137","QuinnipiacQuinnipiac","2/26 - 3/2","1286 RV",48,45,"+3",2015-02-26,"Clinton",3.2258064516129,3
"138","The Economist/YouGovEconomist","2/21 - 2/23","1000 A",48,46,"+2",2015-02-21,"Clinton",2.12765957446809,2
"139","PPP (D)PPP (D)","2/20 - 2/22","691 RV",45,47,"-2",2015-02-20,"Clinton",-2.17391304347826,-2
"140","The Economist/YouGovEconomist","2/14 - 2/16","1000 A",48,45,"+3",2015-02-14,"Clinton",3.2258064516129,3
"1411","The Economist/YouGovEconomist","2/7 - 2/9","1000 A",50,46,"+4",2015-02-07,"Clinton",4.16666666666667,4
"1421","The Economist/YouGovEconomist","1/31 - 2/2","1000 A",47,45,"+2",2015-01-31,"Clinton",2.17391304347826,2
"1431","The Economist/YouGovEconomist","1/24 - 1/26","1000 A",48,45,"+3",2015-01-24,"Clinton",3.2258064516129,3
"144","The Economist/YouGovEconomist","1/17 - 1/19","1000 A",47,45,"+2",2015-01-17,"Clinton",2.17391304347826,2
"145","The Economist/YouGovEconomist","1/10 - 1/12","1000 A",48,45,"+3",2015-01-10,"Clinton",3.2258064516129,3
"146","The Economist/YouGovEconomist","1/3 - 1/5","1000 A",46,46,"Tie",2015-01-03,"Clinton",0,0
"147","The Economist/YouGovEconomist","12/27 - 12/29","1000 A",46,48,"-2",2014-12-28,"Clinton",-2.12765957446809,-2
"218","The Economist/YouGovThe Economist/YouGov","5/6 - 5/8","2000 A",29,58,"-29",2016-05-06,"Cruz",-33.3333333333333,-29
"318","CNN/ORCCNN/ORC","4/28 - 5/1","1001 A",35,53,"-18",2016-04-28,"Cruz",-20.4545454545455,-18
"418","IBD/TIPPIBD/TIPP","4/22 - 4/28","903 A",33,58,"-25",2016-04-22,"Cruz",-27.4725274725275,-25
"518","The Economist/YouGovThe Economist/YouGov","4/22 - 4/26","2000 A",31,59,"-28",2016-04-22,"Cruz",-31.1111111111111,-28
"618","USA Today/SuffolkUSA Today/Suffolk","4/20 - 4/24","1000 LV",26,58,"-32",2016-04-20,"Cruz",-38.0952380952381,-32
"716","GWU/BattlegroundGWU/Battleground","4/17 - 4/20","1000 LV",35,55,"-20",2016-04-17,"Cruz",-22.2222222222222,-20
"815","NBC News/Wall St. JrnlNBC News/Wall St. Jrnl","4/10 - 4/14","1000 RV",26,49,"-23",2016-04-10,"Cruz",-30.6666666666667,-23
"912","CBS NewsCBS News","4/8 - 4/12","1320 A",22,48,"-26",2016-04-08,"Cruz",-37.1428571428571,-26
"1012","The Economist/YouGovThe Economist/YouGov","4/8 - 4/11","2000 A",34,55,"-21",2016-04-08,"Cruz",-23.5955056179775,-21
"1112","ABC News/Wash PostABC News/Wash Post","4/6 - 4/10","1010 A",36,53,"-17",2016-04-06,"Cruz",-19.1011235955056,-17
"1212","Associated Press-GfKAssociated Press-GfK","3/31 - 4/4","1076 A",26,59,"-33",2016-03-31,"Cruz",-38.8235294117647,-33
"1312","The Atlantic/PRRIThe Atlantic/PRRI","3/30 - 4/3","2033 A",29,57,"-28",2016-03-30,"Cruz",-32.5581395348837,-28
"149","The Economist/YouGovThe Economist/YouGov","3/26 - 3/29","2000 A",32,57,"-25",2016-03-26,"Cruz",-28.0898876404494,-25
"155","PPP (D)PPP (D)","3/24 - 3/26","1083 RV",30,58,"-28",2016-03-24,"Cruz",-31.8181818181818,-28
"165","FOX NewsFOX News","3/20 - 3/22","1016 RV",36,53,"-17",2016-03-20,"Cruz",-19.1011235955056,-17
"175","BloombergBloomberg","3/19 - 3/22","1000 A",32,55,"-23",2016-03-19,"Cruz",-26.4367816091954,-23
"185","QuinnipiacQuinnipiac","3/16 - 3/21","1451 RV",32,47,"-15",2016-03-16,"Cruz",-18.9873417721519,-15
"195","CNN/ORCCNN/ORC","3/17 - 3/20","1001 A",34,54,"-20",2016-03-17,"Cruz",-22.7272727272727,-20
"205","MonmouthMonmouth","3/17 - 3/20","848 RV",37,43,"-6",2016-03-17,"Cruz",-7.5,-6
"219","The Economist/YouGovThe Economist/YouGov","3/10 - 3/12","2000 A",32,55,"-23",2016-03-10,"Cruz",-26.4367816091954,-23
"225","ABC News/Wash PostABC News/Wash Post","3/3 - 3/6","1000 A",35,51,"-16",2016-03-03,"Cruz",-18.6046511627907,-16
"235","GallupGallup","2/26 - 3/3","A",29,50,"-21",2016-02-26,"Cruz",-26.5822784810127,-21
"245","CNN/ORCCNN/ORC","2/24 - 2/27","920 RV",36,48,"-12",2016-02-24,"Cruz",-14.2857142857143,-12
"255","The Economist/YouGovThe Economist/YouGov","2/24 - 2/27","2000 A",30,54,"-24",2016-02-24,"Cruz",-28.5714285714286,-24
"265","NBC News/Wall St. JrnlNBC News/Wall St. Jrnl","2/14 - 2/16","800 RV",28,43,"-15",2016-02-14,"Cruz",-21.1267605633803,-15
"275","Associated Press-GfKAssociated Press-GfK","2/11 - 2/15","1033 A",28,46,"-18",2016-02-11,"Cruz",-24.3243243243243,-18
"285","QuinnipiacQuinnipiac","2/10 - 2/15","1342 RV",36,45,"-9",2016-02-10,"Cruz",-11.1111111111111,-9
"295","PPP (D)PPP (D)","2/2 - 2/3","1236 RV",33,51,"-18",2016-02-02,"Cruz",-21.4285714285714,-18
"305","The Economist/YouGovThe Economist/YouGov","2/11 - 2/15","2000 A",36,47,"-11",2016-02-11,"Cruz",-13.2530120481928,-11
"319","The Economist/YouGovThe Economist/YouGov","1/27 - 1/30","2000 A",37,44,"-7",2016-01-27,"Cruz",-8.64197530864197,-7
"325","ABC News/Wash PostABC News/Wash Post","1/6 - 1/10","1000 A",42,43,"-1",2016-01-06,"Cruz",-1.17647058823529,-1
"335","The Economist/YouGovThe Economist/YouGov","12/30 - 1/6","2000 A",38,39,"-1",2015-12-31,"Cruz",-1.2987012987013,-1
"345","The Economist/YouGovThe Economist/YouGov","12/18 - 12/21","2000 A",35,44,"-9",2015-12-19,"Cruz",-11.3924050632911,-9
"355","QuinnipiacQuinnipiac","12/16 - 12/20","1140 RV",35,33,"+2",2015-12-17,"Cruz",2.94117647058824,2
"365","PPP (D)PPP (D)","12/16 - 12/17","1267 RV",34,48,"-14",2015-12-17,"Cruz",-17.0731707317073,-14
"375","The Economist/YouGovThe Economist/YouGov","12/4 - 12/9","2000 A",34,41,"-7",2015-12-05,"Cruz",-9.33333333333333,-7
"385","Associated Press-GfKAssociated Press-GfK","12/3 - 12/7","1007 A",24,37,"-13",2015-12-04,"Cruz",-21.3114754098361,-13
"395","QuinnipiacQuinnipiac","11/23 - 11/30","1473 RV",33,33,"Tie",2015-11-24,"Cruz",0,0
"405","The Economist/YouGovThe Economist/YouGov","11/19 - 11/23","2000 A",34,43,"-9",2015-11-20,"Cruz",-11.6883116883117,-9
"419","The Economist/YouGovThe Economist/YouGov","11/5 - 11/9","2000 A",33,41,"-8",2015-11-06,"Cruz",-10.8108108108108,-8
"425","ABC News/Wash PostABC News/Wash Post","11/4 - 11/8","1023 A",34,44,"-10",2015-11-05,"Cruz",-12.8205128205128,-10
